"","gene","sgrna_id","logFC","logCPM","LR","PValue","FDR"
"RNF220","RNF220","RNF220_-_44889598.23-ENST00000443020.2|RNF220_+_44889629.23-ENST00000443020.2",0.240784531906922,6.0813644751342,1.20803394735574,0.271721843416228,0.622288771058508
"TWF1","TWF1","TWF1_-_44199727.23-P1P2|TWF1_+_44199942.23-P1P2",-0.293936235190929,5.65989078840236,1.20802893190447,0.271722838501433,0.622288771058508
"ACOX2","ACOX2","ACOX2_+_58512428.23-P2|ACOX2_-_58512435.23-P2",0.281334096764287,5.7206413310708,1.20669140270721,0.27198837243195,0.62261046336264
"NR5A2","NR5A2","NR5A2_+_200008754.23-P2|NR5A2_-_200008809.23-P2",-0.24408063542998,6.03471726348834,1.20647110892037,0.27203213756343,0.62261046336264
"ERG","ERG","ERG_-_40032850.23-P2|ERG_-_40032868.23-P2",-0.218051998187412,7.97971412291643,1.20642124291408,0.272042045522853,0.62261046336264
"PRKCZ","PRKCZ","PRKCZ_+_1981952.23-P2|PRKCZ_-_1981944.23-P2",0.210145495532407,6.21474377174709,1.20601209337853,0.272123357186653,0.622622743514568
"TMEM121","TMEM121","TMEM121_-_105992982.23-P1|TMEM121_-_105992985.23-P1",-0.242765010553408,6.64317009117566,1.20558380339207,0.272208505298584,0.622622743514568
"CYP4F2","CYP4F2","CYP4F2_-_16008535.23-P1P2|CYP4F2_+_16008750.23-P1P2",0.345470604094741,5.53287479605313,1.20519766445739,0.272285301982331,0.622622743514568
"FAM194B","FAM194B","FAM194B_+_46189818.23-P1P2|FAM194B_+_46189812.23-P1P2",-0.239799476685028,5.95487999888997,1.20512461242899,0.272299833881292,0.622622743514568
"HNRNPA1","HNRNPA1","HNRNPA1_-_54674507.23-P1P2|HNRNPA1_+_54674930.23-P1P2",-0.422895173153607,5.52370884824022,1.20473590869729,0.272377173235577,0.622622743514568
"TYRO3","TYRO3","TYRO3_+_41851449.23-P1P2|TYRO3_-_41851466.23-P1P2",-0.233248700573887,7.52791089343149,1.20459659943329,0.272404897928096,0.622622743514568
"SPG20","SPG20","SPG20_+_36920443.23-P1P2|SPG20_-_36920497.23-P1P2",-0.269500385765483,6.15358505170493,1.20391079584641,0.272541434962599,0.622798599466249
"CTU2","CTU2","CTU2_-_88772951.23-P1P2|CTU2_+_88772905.23-P1P2",0.27350156717002,5.77158991216455,1.20334654678726,0.272653835919604,0.622906620708276
"negative_control.228","negative_control","non-targeting_00634|non-targeting_01548",-0.31183396677224,5.7192114449118,1.20307513797508,0.272707922463193,0.622906620708276
"STK32A","STK32A","STK32A_-_146614653.23-P1P2|STK32A_+_146614702.23-P1P2",0.254012559570464,5.83953875341965,1.2015357722034,0.273014942854669,0.623471624307538
"BMP8B","BMP8B","BMP8B_+_40254435.23-P1P2|BMP8B_+_40254438.23-P1P2",-0.301857535588399,5.83793351934694,1.20122767241651,0.273076444145236,0.623475822879117
"NPTX2","NPTX2","NPTX2_+_98246648.23-P1P2|NPTX2_-_98246634.23-P1P2",-0.237140023649159,5.93130868630866,1.20060160942684,0.273201469108141,0.623618741840356
"PTGES2","PTGES2","PTGES2_+_130889986.23-P1P2|PTGES2_-_130889959.23-P1P2",0.231956446233849,5.95936170973264,1.20009319766068,0.273303051879898,0.623618741840356
"SLC28A3","SLC28A3","SLC28A3_+_86955630.23-P1P2|SLC28A3_-_86955647.23-P1P2",0.272837439095397,5.82248045328028,1.19983034766889,0.273355588961148,0.623618741840356
"AHDC1","AHDC1","AHDC1_+_27930650.23-P1P2|AHDC1_+_27930664.23-P1P2",-0.264168867226052,5.95115583680282,1.19961765197235,0.27339811073172,0.623618741840356
"SAMD15","SAMD15","SAMD15_-_77843779.23-P1P2|SAMD15_-_77843941.23-P1P2",-0.24791089694335,5.84450725839339,1.19942104495408,0.273437423455743,0.623618741840356
"DPPA3","DPPA3","DPPA3_+_7864067.23-P1P2|DPPA3_+_7864263.23-P1P2",0.248841887869689,5.84517609777067,1.19899049123965,0.273523539948046,0.623661060856863
"SH3GL1","SH3GL1","SH3GL1_+_4400263.23-P1P2|SH3GL1_+_4400350.23-P1P2",0.253454837543788,5.83158930181088,1.19873159014114,0.273575339996924,0.623661060856863
"RNASE13","RNASE13","RNASE13_-_21502869.23-P1P2|RNASE13_-_21502828.23-P1P2",0.317084070591105,5.56087157882163,1.19788597322743,0.273744613867751,0.623910842948309
"FGD3","FGD3","FGD3_-_95726643.23-P1P2|FGD3_-_95726785.23-P1P2",0.225215374552195,6.36977266597852,1.19715869454865,0.273890304105269,0.62410677668994
"TEX40","TEX40","TEX40_-_64067874.23-P1P2|TEX40_+_64067943.23-P1P2",0.255910036174511,5.99703735016892,1.19651975957852,0.274018377372752,0.624192182032598
"PTRH1","PTRH1","PTRH1_+_130477922.23-P1P2|PTRH1_+_130477882.23-P1P2",0.220373398042392,6.08986323106191,1.19637578582137,0.274047247001489,0.624192182032598
"CRK","CRK","CRK_-_1359492.23-P1P2|CRK_+_1359477.23-P1P2",-0.22072946094569,7.99248402551091,1.19388366635673,0.274547572239095,0.624752259209957
"LIMA1","LIMA1","LIMA1_+_50677240.23-P2|LIMA1_+_50677216.23-P2",0.210475559173928,6.20545155374204,1.19388059575448,0.274548189408932,0.624752259209957
"DEFB106B","DEFB106B","DEFB106B_-_7343743.23-ENST00000335479.2|DEFB106B_-_7343892.23-ENST00000335479.2",-0.241670301825603,6.49981543001549,1.19386929829426,0.27455046013537,0.624752259209957
"CRYL1","CRYL1","CRYL1_-_21099939.23-P1P2|CRYL1_+_21099895.23-P1P2",-0.280888126031096,5.84501402457548,1.193629528965,0.274598657991195,0.624752259209957
"MTRNR2L5","MTRNR2L5","MTRNR2L5_-_57359037.23-P1P2|MTRNR2L5_+_57359028.23-P1P2",0.214516206701817,6.11556353881768,1.19340423193481,0.274643956338102,0.624752259209957
"NPPB","NPPB","NPPB_+_11918983.23-P1P2|NPPB_+_11918956.23-P1P2",-0.351459954011308,5.56084913169418,1.19336495454746,0.274651854431631,0.624752259209957
"ZNF280A","ZNF280A","ZNF280A_+_22874617.23-P1P2|ZNF280A_+_22874550.23-P1P2",0.241091442906635,5.94352452523007,1.19281716918324,0.274762035573398,0.624754667633692
"TCAIM","TCAIM","TCAIM_-_44380276.23-P1P2|TCAIM_-_44379827.23-P1P2",0.269059353201974,5.83025172210118,1.19270162596683,0.274785282935661,0.624754667633692
"MC3R","MC3R","MC3R_+_54823850.23-ENST00000243911.2|MC3R_+_54823869.23-ENST00000243911.2",-0.253312849199777,6.01826725934126,1.19203937505466,0.274918575850328,0.624754667633692
"TEX264","TEX264","TEX264_-_51705295.23-P1P2|TEX264_+_51705497.23-P1P2",0.247410749740239,6.57868644685753,1.19193902073201,0.274938781500266,0.624754667633692
"MMP15","MMP15","MMP15_+_58059717.23-P1P2|MMP15_-_58059707.23-P1P2",0.236169808237169,6.56597191507964,1.1918741741946,0.274951838894483,0.624754667633692
"THAP10","THAP10","THAP10_+_71184705.23-P1P2|THAP10_+_71184741.23-P1P2",0.247289624772771,6.18792766548777,1.19053448115194,0.275221771621543,0.625232068140245
