sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
CMC1_-_28283142.23-P1P2|CMC1_-_28283259.23-P1P2	CMC1	4378	3301	3750	3645	3026	4474
FTSJ1_+_48334667.23-P1P2|FTSJ1_-_48334676.23-P1P2	FTSJ1	4107	3123	6135	2144	4306	3403
PXDC1_+_3752230.23-P1P2|PXDC1_+_3752047.23-P1P2	PXDC1	8946	10842	14404	7487	9467	10539
TNFRSF13C_+_42322771.23-P1P2|TNFRSF13C_-_42322813.23-P1P2	TNFRSF13C	4788	4727	6567	6089	4932	6675
LRMP_-_25205558.23-P1P2|LRMP_+_25205688.23-P1P2	LRMP	6179	5254	5348	5545	5917	7785
CRB2_+_126118537.23-P1|CRB2_-_126118533.23-P1	CRB2	5073	4661	6085	4776	5016	4962
NFKB1_+_103422595.23-P1P2|NFKB1_-_103422536.23-P1P2	NFKB1	6969	8033	7216	7606	6038	6326
UQCRC1_-_48643052.23-P2|UQCRC1_+_48643236.23-P2	UQCRC1	6592	6903	7477	5372	6371	7255
HMOX2_+_4526369.23-P1|HMOX2_+_4526391.23-P1	HMOX2	8791	8555	10621	9078	4927	6869
REN_-_204135437.23-P1P2|REN_-_204135359.23-P1P2	REN	6823	3207	7601	4179	4564	5773
CRYAA_+_44589151.23-P1|CRYAA_+_44589320.23-P1	CRYAA	5993	4919	5086	4749	4873	5694
EMR3_+_14785613.23-P1P2|EMR3_-_14785589.23-P1P2	EMR3	4065	4699	2742	3997	4551	3470
DPYD_+_98386503.23-P1P2|DPYD_+_98386485.23-P1P2	DPYD	5562	4209	5432	3357	2762	3334
non-targeting_00903|non-targeting_00000	negative_control	6369	5245	5275	4193	5179	4232
SNAP23_+_42787858.23-P1P2|SNAP23_-_42787861.23-P1P2	SNAP23	1491	1458	1390	1147	839	1634
PLS1_+_142315306.23-P1|PLS1_+_142315319.23-P1	PLS1	4252	2492	4595	3594	3679	4254
EYA2_+_45523542.23-P1P2|EYA2_+_45523552.23-P1P2	EYA2	6278	3300	5806	4268	7306	6158
LIPC_-_58724234.23-P2|LIPC_-_58724226.23-P2	LIPC	3925	5008	4465	3017	3960	4109
S100Z_-_76146063.23-P1P2|S100Z_+_76145947.23-P1P2	S100Z	7136	6186	5138	5309	4526	7530
MYO6_+_76459015.23-P1P2|MYO6_+_76459057.23-P1P2	MYO6	6386	5767	7199	5236	4200	6117
POU1F1_-_87325748.23-P1P2|POU1F1_-_87325542.23-P1P2	POU1F1	2595	4271	1586	4473	1859	3385
RPA4_+_96139247.23-P1P2|RPA4_+_96139276.23-P1P2	RPA4	7232	4152	9400	3379	5503	3986
C22orf26_-_46450036.23-P1P2|C22orf26_-_46450089.23-P1P2	C22orf26	12560	12116	16038	10758	12823	13440
SQRDL_-_45927322.23-P1P2|SQRDL_-_45927289.23-P1P2	SQRDL	5077	3003	4350	2228	3802	3178
OR10A4_+_6897933.23-ENST00000379829.2|OR10A4_-_6897887.23-ENST00000379829.2	OR10A4	6330	5566	6247	3062	4900	4568
GOLGA7B_-_99609645.23-P1P2|GOLGA7B_+_99609867.23-P1P2	GOLGA7B	3756	5464	5844	4102	3174	5026
CLEC4E_-_8693491.23-P1P2|CLEC4E_-_8693479.23-P1P2	CLEC4E	3594	1819	3495	2244	2796	3663
RBM38_+_55966519.23-P1P2|RBM38_-_55966516.23-P1P2	RBM38	18061	23038	18102	22574	11926	25447
XYLT1_-_17564542.23-P1P2|XYLT1_+_17564604.23-P1P2	XYLT1	17589	15866	19665	15860	16015	17602
DPP7_+_140007398.23-P2|DPP7_+_140007403.23-P2	DPP7	4251	3069	3861	3291	2313	3086
ATHL1_-_289141.23-P1P2|ATHL1_+_289204.23-P1P2	ATHL1	19078	9681	21157	8583	14680	12375
CPA5_-_129984754.23-P1|CPA5_-_129984735.23-P1	CPA5	2674	3017	4341	2839	2410	3299
non-targeting_02438|non-targeting_00448	negative_control	833	1183	1444	462	705	1298
HS3ST6_+_1968397.23-P1P2|HS3ST6_+_1968388.23-P1P2	HS3ST6	7427	5554	7296	8488	6996	6441
TMEM189_-_48770240.23-P1P2|TMEM189_+_48770183.23-P1P2	TMEM189	4768	10058	2362	12378	3115	14387
DCUN1D4_-_52709349.23-P1P2|DCUN1D4_-_52709757.23-P1P2	DCUN1D4	8023	5545	8174	4739	6128	6299
HMCN2_-_133223951.23-ENST00000420499.2|HMCN2_-_133223976.23-ENST00000420499.2	HMCN2	4289	2700	5621	3111	3720	4057
RPS29_+_50065387.23-P2|RPS29_-_50065393.23-P2	RPS29	4075	3199	4794	3627	4067	2335
GLRA2_+_14547655.23-P1P2|GLRA2_+_14547715.23-P1P2	GLRA2	6646	5826	7996	6257	6335	6066
DAGLA_-_61447910.23-P1P2|DAGLA_-_61447894.23-P1P2	DAGLA	5047	1828	6077	4862	3839	6006
SERAC1_+_158589232.23-P1P2|SERAC1_+_158589216.23-P1P2	SERAC1	3673	3718	4406	1851	3759	3294
ZNF583_+_56915696.23-P1P2|ZNF583_-_56915703.23-P1P2	ZNF583	5251	4208	6368	3877	4998	6727
C17orf70_-_79519326.23-P1P2|C17orf70_+_79519322.23-P1P2	C17orf70	20634	15144	24406	11840	16932	14601
non-targeting_00204|non-targeting_00553	negative_control	10956	10198	12234	9579	8781	9856
ZNF286B_-_18585314.23-P1P2|ZNF286B_-_18585620.23-P1P2	ZNF286B	4310	3761	5240	2827	4658	5951
KNSTRN_-_40675191.23-P1P2|KNSTRN_-_40675529.23-P1P2	KNSTRN	2714	1746	2990	1477	2158	1514
AGO4_+_36273634.23-P1P2|AGO4_+_36273598.23-P1P2	AGO4	8679	6122	9419	7480	8453	7611
LGALSL_+_64681411.23-P1P2|LGALSL_+_64681365.23-P1P2	LGALSL	4857	3406	6228	6096	2598	3786
RHOG_+_3861920.23-P1P2|RHOG_-_3862066.23-P1P2	RHOG	21907	23367	29043	24546	20218	28688
TPRN_-_140095175.23-P1P2|TPRN_-_140095185.23-P1P2	TPRN	7202	7886	7725	6315	5487	8941
NAB1_-_191514174.23-P1P2|NAB1_-_191514101.23-P1P2	NAB1	3731	4441	2822	2453	1614	3738
TRUB1_-_116698030.23-P1P2|TRUB1_-_116698001.23-P1P2	TRUB1	2486	3088	2512	2438	2487	1441
SAMD13_-_84764232.23-P1|SAMD13_-_84764185.23-P1	SAMD13	17265	13320	23376	16129	12278	15249
non-targeting_02456|non-targeting_01643	negative_control	3908	2560	7333	6986	5608	6287
non-targeting_00038|non-targeting_00083	negative_control	7058	7169	7554	4259	4229	8593
KIAA0319L_+_36022945.23-P1P2|KIAA0319L_-_36022992.23-P1P2	KIAA0319L	2820	2192	2688	3910	3213	4097
MYO1C_+_1388992.23-P1|MYO1C_+_1388664.23-P1	MYO1C	5549	4206	8616	2426	5889	3302
HSPA12B_-_3713407.23-P1P2|HSPA12B_-_3713417.23-P1P2	HSPA12B	15541	12997	23247	11542	13986	13988
PLD3_-_40854641.23-P2|PLD3_-_40854603.23-P2	PLD3	5153	6340	8153	5659	4735	5628
non-targeting_03116|non-targeting_00126	negative_control	2336	2601	2835	2576	2752	2325
IL16_+_81489132.23-ENST00000394660.2|IL16_-_81489092.23-ENST00000394660.2	IL16	2798	3404	3778	3351	2506	2888
non-targeting_03212|non-targeting_00673	negative_control	5152	5310	4743	2961	3635	6232
TMEM82_-_16069048.23-P1P2|TMEM82_+_16069100.23-P1P2	TMEM82	5174	5496	7290	3360	2829	6277
IL7_+_79717216.23-P1P2|IL7_-_79717274.23-P1P2	IL7	7215	9194	9358	6986	5942	8534
POU3F2_-_99282954.23-P1P2|POU3F2_+_99282417.23-P1P2	POU3F2	10237	12170	13707	9243	6184	12746
CREBZF_-_85376117.23-P1P2|CREBZF_-_85376158.23-P1P2	CREBZF	6668	4986	6388	4044	4542	4997
PRDM9_-_23507772.23-P1P2|PRDM9_-_23507758.23-P1P2	PRDM9	16877	11775	18191	13112	12313	13805
