sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
LYZL4_+_42452013.23-P1P2|LYZL4_+_42451888.23-P1P2	LYZL4	2830.646190797843	3580.6872594913275	4369.501518891278	3146.3155302497494	3721.318619715576	3598.5082752239255
IDH3G_+_153059796.23-P1P2|IDH3G_+_153059799.23-P1P2	IDH3G	4544.6924024795135	5309.724868253245	5088.58387065919	5072.842921619237	4586.616565663305	4907.231445011639
MYLK4_-_2751138.23-P1P2|MYLK4_-_2750927.23-P1P2	MYLK4	4065.6169523411886	3420.6681538727366	2781.4615580024933	4378.78577643406	3646.0753200679474	3067.139763555346
TBR1_+_162272992.23-P1P2|TBR1_-_162272898.23-P1P2	TBR1	3275.235664953447	3593.1562807083606	2724.8597320872805	1256.6815419465838	2586.219699317064	2945.1075737146416
GALNT16_-_69726908.23-P1P2|GALNT16_+_69727095.23-P1P2	GALNT16	3152.204615501582	2983.21332617516	2847.629889706193	3117.4925591041856	3452.5925495454735	57.65300307434861
non-targeting_03761|non-targeting_00994	negative_control	4673.315772361008	4034.767448811615	4356.746177839962	4654.33338058565	4522.122308822481	5475.113525293973
EVI5_+_93250600.23-P1P2|EVI5_+_93250582.23-P1P2	EVI5	3482.1515208497663	2040.7631391877444	2408.367832251514	3153.233043324685	2825.9233539087954	3483.2022690752283
CA8_-_61193912.23-P1P2|CA8_-_61193943.23-P1P2	CA8	3582.813288583111	4065.9400018541974	4126.3528301005745	2837.333279569305	2582.994986475023	5052.324836082083
non-targeting_03124|non-targeting_01444	negative_control	3819.554853437458	5312.842123557503	5169.899169861327	5982.495890973232	4652.18572678481	3764.741100754964
NEFM_+_24774682.23-P2|NEFM_-_24774802.23-P2	NEFM	6517.849460734052	7690.26883560514	4333.627122184453	6445.969266993899	5425.041904594024	5748.004406512556
NYNRIN_-_24868236.23-P1P2|NYNRIN_-_24868254.23-P1P2	NYNRIN	5329.481369437624	4148.0277248663315	5880.21222465646	2183.628293987917	3689.0714912951635	5108.056072387287
MT1H_+_56703942.23-P1P2|MT1H_+_56703709.23-P1P2	MT1H	5329.481369437624	3833.184939136247	4382.256859942593	4226.600488785482	5641.097665010787	4766.942470864057
S1PR5_+_10628065.23-P1P2|S1PR5_+_10628079.23-P1P2	S1PR5	5716.283532487049	4370.391936570088	4070.5482130010696	7430.56196132636	5135.892653090994	4587.257277949005
OR10G7_-_123909694.23-ENST00000330487.5|OR10G7_-_123909724.23-ENST00000330487.5	OR10G7	3847.516455585609	2894.891092554509	3829.7911506574887	4864.164610525355	4589.841278505346	4682.3847330216795
MGAT1_+_180229792.23-P1|MGAT1_+_180229772.23-P1	MGAT1	4559.605256958527	5806.407546731729	6210.25667435925	5679.2782345219	5349.798604946395	5852.740695430956
SMYD2_-_214454578.23-P1P2|SMYD2_+_214454595.23-P1P2	SMYD2	10066.176773334442	8104.86379107149	8750.961170018163	9367.465622308251	7257.7537031541215	7941.70117349152
